show_id,category,win,year
5,Outstanding Drama Series,False,2001
5,Outstanding Single-Camera Sound Mixing For A Series,False,2001
5,OUTSTANDING SINGLE-CAMERA PICTURE EDITING FOR A SERIES,False,2001
5,Outstanding Writing for a Drama Series,True,2003
5,Outstanding Supporting Actor In A Drama Series,True,2003
5,Outstanding Lead Actor In A Drama Series,True,2003
5,Outstanding Lead Actress In A Drama Series,True,2003
5,Outstanding Drama Series,False,2003
5,Outstanding Directing For A Drama Series,False,2003
5,Outstanding Single-Camera Sound Mixing For A Series,False,2003
5,Outstanding Single-Camera Picture Editing For A Drama Series,False,2003
5,Outstanding Casting For A Drama Series,False,2003
5,Outstanding Supporting Actress In A Drama Series,True,2004
5,Outstanding Writing for a Drama Series,True,2004
5,Outstanding Drama Series,True,2004
5,Outstanding Supporting Actor In A Drama Series,True,2004
5,Outstanding Directing For A Drama Series,False,2004
5,Outstanding Lead Actor In A Drama Series,False,2004
5,Outstanding Lead Actress In A Drama Series,False,2004
5,Outstanding Art Direction For A Single-Camera Series,False,2004
5,Outstanding Casting For A Drama Series,False,2004
5,Outstanding Cinematography For A Single-camera Series,False,2004
5,Outstanding Costumes For A Series,False,2004
5,Outstanding Single-Camera Sound Mixing For A Series,False,2004
5,Outstanding Single-Camera Picture Editing For A Drama Series,False,2004
5,Outstanding Writing for a Drama Series,True,2006
5,Outstanding Supporting Actor In A Drama Series,False,2006
5,Outstanding Drama Series,False,2006
5,Outstanding Directing For A Drama Series,False,2006
5,Outstanding Cinematography For A Single-camera Series,False,2006
5,Outstanding Costumes For A Series,False,2006
5,Outstanding Writing for a Drama Series,True,2007
5,Outstanding Drama Series,True,2007
5,Outstanding Directing For A Drama Series,True,2007
5,Outstanding Sound Mixing For A Comedy Or Drama Series (one-hour),False,2007
5,Outstanding Single-Camera Picture Editing For A Drama Series,False,2007
5,Outstanding Cinematography For A Single-camera Series,False,2007
5,Outstanding Guest Actor In A Drama Series,False,2007
5,Outstanding Supporting Actor In A Drama Series,False,2007
5,Outstanding Supporting Actress In A Drama Series,False,2007
5,Outstanding Lead Actor In A Drama Series,False,2007
5,Outstanding Lead Actress In A Drama Series,False,2007
6,Outstanding Individual Achievement In Animation,True,2003
6,Outstanding Animated Program (for programming less than one hour),True,2004
6,Outstanding Individual Achievement In Animation,True,2005
6,Outstanding Animated Program (for programming less than one hour),False,2005
6,Outstanding Individual Achievement In Animation (Juried),True,2017
7,Outstanding Lead Actor in a Comedy Series,True,2017
7,Outstanding Directing for a Comedy Series,True,2017
7,Outstanding Writing for a Comedy Series,False,2017
7,Outstanding Comedy Series,False,2017
7,Outstanding Casting for a Comedy Series,False,2017
7,Outstanding Guest Actor In A Comedy Series,True,2018
7,Outstanding Sound Editing For A Comedy Or Drama Series (Half-Hour) And Animation,True,2018
7,Outstanding Cinematography For A Single-Camera Series (Half-Hour),True,2018
7,Outstanding Directing For A Comedy Series,False,2018
7,Outstanding Single-Camera Picture Editing For A Comedy Series,False,2018
7,Outstanding Casting For A Comedy Series,False,2018
7,Outstanding Production Design For A Narrative Program (Half-Hour Or Less),False,2018
7,Outstanding Music Supervision,False,2018
7,Outstanding Supporting Actor In A Comedy Series,False,2018
